,date,google trend,tweet_volume,tweet_len
151,2020-06-14,83,10,22.1
152,2020-06-21,81,10,24.5
153,2020-06-21,0,5,23.0
154,2020-06-28,85,9,21.0
155,2020-06-28,0,5,28.6
156,2020-07-05,30,10,20.5
157,2020-07-05,82,8,21.75
158,2020-07-12,0,12,19.5
159,2020-07-12,83,10,23.3
160,2020-07-19,0,8,25.625
161,2020-07-19,85,7,22.857142857142858
162,2020-07-26,81,7,22.857142857142858
163,2020-07-26,0,1,33.0
164,2020-08-02,0,5,29.8
165,2020-08-02,90,13,21.307692307692307
166,2020-08-09,22,5,23.4
167,2020-08-09,95,7,22.857142857142858
168,2020-08-16,92,8,22.0
169,2020-08-16,21,2,28.5
170,2020-08-23,79,10,21.4
171,2020-08-23,52,1,16.0
172,2020-08-30,0,1,34.0
173,2020-08-30,73,12,23.5
174,2020-09-06,88,8,23.0
175,2020-09-06,0,3,20.0
176,2020-09-13,80,8,23.625
177,2020-09-13,0,3,17.666666666666668
178,2020-09-20,17,4,20.5
179,2020-09-20,81,12,22.0
180,2020-09-27,0,3,19.0
181,2020-09-27,84,7,22.857142857142858
182,2020-10-04,76,9,23.0
183,2020-10-04,0,6,19.666666666666668
184,2020-10-11,66,8,21.75
185,2020-10-11,0,3,26.666666666666668
186,2020-10-18,74,18,21.555555555555557
187,2020-10-18,32,1,14.0
188,2020-10-25,23,1,28.0
189,2020-10-25,76,10,25.0
190,2020-11-01,59,7,22.857142857142858
191,2020-11-01,0,1,27.0
192,2020-11-08,73,9,20.555555555555557
193,2020-11-08,0,2,13.0
194,2020-11-15,47,1,17.0
195,2020-11-15,86,7,22.857142857142858
196,2020-11-22,70,10,24.2
197,2020-11-22,0,3,42.666666666666664
198,2020-11-29,80,8,21.75
199,2020-11-29,0,2,29.5
200,2020-12-06,0,1,13.0
201,2020-12-06,73,14,22.285714285714285
202,2020-12-13,0,1,9.0
203,2020-12-13,87,8,24.125
204,2020-12-20,0,1,9.0
205,2020-12-20,74,7,22.857142857142858
206,2020-12-27,89,9,20.555555555555557
207,2020-12-27,0,2,29.0
208,2021-01-01,0,0,0.0
209,2021-01-03,0,2,15.0
210,2021-01-03,78,8,26.0
211,2021-01-10,73,9,22.22222222222222
212,2021-01-10,0,1,17.0
213,2021-01-17,0,4,35.75
214,2021-01-17,83,9,22.444444444444443
215,2021-01-24,69,12,23.583333333333332
216,2021-01-24,20,1,4.0
217,2021-01-31,81,13,28.0
218,2021-01-31,61,2,36.0
219,2021-02-07,76,10,22.0
220,2021-02-07,21,2,48.0
221,2021-02-14,94,9,20.555555555555557
222,2021-02-14,35,1,40.0
223,2021-02-21,0,3,26.666666666666668
224,2021-02-21,64,7,22.857142857142858
225,2021-02-28,77,8,22.0
226,2021-02-28,45,2,30.0
227,2021-03-07,0,1,31.0
228,2021-03-07,80,8,21.75
229,2021-03-14,21,1,26.0
230,2021-03-14,0,0,0.0
231,2021-03-14,67,9,23.0
232,2021-03-21,0,1,22.0
233,2021-03-21,71,7,22.285714285714285
234,2021-03-28,0,2,17.5
235,2021-03-28,71,8,23.25
236,2021-04-04,0,1,33.0
237,2021-04-04,74,9,20.555555555555557
238,2021-04-11,45,1,17.0
239,2021-04-11,83,7,22.857142857142858
240,2021-04-18,62,9,20.77777777777778
241,2021-04-18,21,6,31.0
242,2021-04-25,0,1,20.0
243,2021-04-25,70,9,20.0
244,2021-05-02,0,1,45.0
245,2021-05-02,82,9,23.0
246,2021-05-09,0,4,33.5
247,2021-05-09,68,8,25.0
248,2021-05-16,73,8,24.25
249,2021-05-16,0,2,25.0
250,2021-05-23,32,1,22.0
251,2021-05-23,67,10,20.8
252,2021-05-30,42,2,41.0
253,2021-05-30,68,8,24.75
254,2021-06-06,22,1,37.0
255,2021-06-06,63,9,21.11111111111111
256,2021-06-13,0,3,28.0
257,2021-06-13,75,8,21.75
258,2021-06-20,78,9,23.0
259,2021-06-20,0,3,26.666666666666668
260,2021-06-27,0,2,22.0
261,2021-06-27,64,8,24.375
262,2021-07-04,66,7,22.857142857142858
263,2021-07-04,0,3,21.333333333333332
264,2021-07-11,72,9,20.555555555555557
265,2021-07-11,0,1,3.0
266,2021-07-18,72,8,21.375
267,2021-07-18,0,1,9.0
268,2021-07-25,0,3,25.666666666666668
269,2021-07-25,75,10,22.3
270,2021-08-01,20,1,37.0
271,2021-08-01,67,8,21.75
272,2021-08-08,0,1,21.0
273,2021-08-08,75,10,24.0
274,2021-08-15,54,2,23.5
275,2021-08-15,74,11,19.454545454545453
276,2021-08-22,0,1,39.0
277,2021-08-22,61,8,22.75
278,2021-08-29,68,10,22.9
279,2021-08-29,0,1,34.0
280,2021-09-05,76,10,23.5
281,2021-09-05,0,1,39.0
282,2021-09-12,68,8,22.0
283,2021-09-12,0,3,8.0
284,2021-09-19,76,8,21.75
285,2021-09-19,0,1,4.0
286,2021-09-26,68,9,23.333333333333332
287,2021-09-26,0,1,51.0
288,2021-10-03,81,6,22.833333333333332
289,2021-10-10,71,7,22.857142857142858
290,2021-10-17,80,11,21.0
291,2021-10-24,83,8,22.625
292,2021-10-31,77,8,22.0
293,2021-11-07,87,8,22.625
294,2021-11-14,75,9,20.555555555555557
295,2021-11-21,79,8,23.0
296,2021-11-28,76,7,22.857142857142858
297,2021-12-05,79,11,21.09090909090909
298,2021-12-12,76,7,22.857142857142858
299,2021-12-19,90,10,21.4
300,2021-12-26,76,10,22.1
301,2022-01-02,87,8,22.125
302,2022-01-09,77,7,22.857142857142858
303,2022-01-16,76,9,25.555555555555557
304,2022-01-23,74,9,20.555555555555557
305,2022-01-30,88,7,22.857142857142858
306,2022-02-06,74,9,23.11111111111111
307,2022-02-13,99,9,22.22222222222222
308,2022-02-20,79,8,22.125
309,2022-02-27,87,8,21.75
310,2022-03-06,72,8,22.125
311,2022-03-13,74,10,19.8
312,2022-03-20,81,8,25.125
313,2022-03-27,69,8,22.0
314,2022-04-03,81,8,21.75
315,2022-04-10,85,9,20.77777777777778
316,2022-04-17,83,9,23.77777777777778
317,2022-04-24,69,8,21.0
318,2022-05-01,76,9,20.555555555555557
319,2022-05-08,77,7,22.857142857142858
320,2022-05-15,81,8,22.0
321,2022-05-22,82,8,21.75
322,2022-05-29,80,8,22.125
323,2022-06-05,83,7,22.857142857142858
324,2022-06-12,71,8,22.5
325,2022-06-19,75,9,20.555555555555557
326,2022-06-26,76,8,24.375
327,2022-07-03,65,9,21.77777777777778
328,2022-07-10,75,8,21.75
329,2022-07-17,79,8,22.125
330,2022-07-24,73,1,15.0
331,2022-07-31,75,3,35.666666666666664
332,2022-08-07,80,1,46.0
333,2022-08-14,70,1,2.0
334,2022-08-21,77,3,23.666666666666668
335,2022-08-28,70,1,10.0
336,2022-09-04,88,1,8.0
337,2022-09-11,76,1,42.0
338,2022-09-18,69,1,15.0
339,2022-09-25,70,1,28.0
