,date,google trend,tweet_volume,tweet_len
147,2021-10-31,77,8,22.0
148,2021-11-07,87,8,22.625
149,2021-11-14,75,9,20.555555555555557
150,2021-11-21,79,8,23.0
151,2021-11-28,76,7,22.857142857142858
152,2021-12-05,79,11,21.09090909090909
153,2021-12-12,76,7,22.857142857142858
154,2021-12-19,90,10,21.4
155,2021-12-26,76,10,22.1
156,2022-01-02,87,8,22.125
157,2022-01-09,77,7,22.857142857142858
158,2022-01-16,76,9,25.555555555555557
159,2022-01-23,74,9,20.555555555555557
160,2022-01-30,88,7,22.857142857142858
161,2022-02-06,74,9,23.11111111111111
162,2022-02-13,99,9,22.22222222222222
163,2022-02-20,79,8,22.125
164,2022-02-27,87,8,21.75
165,2022-03-06,72,8,22.125
166,2022-03-13,74,10,19.8
167,2022-03-20,81,8,25.125
168,2022-03-27,69,8,22.0
169,2022-04-03,81,8,21.75
170,2022-04-10,85,9,20.77777777777778
171,2022-04-17,83,9,23.77777777777778
172,2022-04-24,69,8,21.0
173,2022-05-01,76,9,20.555555555555557
174,2022-05-08,77,7,22.857142857142858
175,2022-05-15,81,8,22.0
176,2022-05-22,82,8,21.75
177,2022-05-29,80,8,22.125
178,2022-06-05,83,7,22.857142857142858
179,2022-06-12,71,8,22.5
180,2022-06-19,75,9,20.555555555555557
181,2022-06-26,76,8,24.375
182,2022-07-03,65,9,21.77777777777778
183,2022-07-10,75,8,21.75
184,2022-07-17,79,8,22.125
185,2022-07-24,73,1,15.0
186,2022-07-31,75,3,35.666666666666664
187,2022-08-07,80,1,46.0
188,2022-08-14,70,1,2.0
189,2022-08-21,77,3,23.666666666666668
190,2022-08-28,70,1,10.0
191,2022-09-04,88,1,8.0
192,2022-09-11,76,1,42.0
193,2022-09-18,69,1,15.0
194,2022-09-25,70,1,28.0
